49  61.868447115388
65  63.811266931609
81  65.359291326512
97  66.596007106593
137  62.625565941117
217  58.96083400283
297  55.545017312516
377  52.341489734316
457  49.328193030654
537  46.483865206218
617  43.794170158824
697  41.247875974825
777  38.835898169792
857  36.55066193941
961  34.385660911234
1065  32.335123691603
1177  30.393851160639
1289  28.557037260714
1401  26.820162099158
1529  25.178916533643
1697  23.618771436164
1865  22.146291977307
2073  20.74933764969
2241  19.447616164606
2425  18.221621505923
2681  17.062131629994
2929  15.974467095091
3201  14.950120675137
3489  13.98823465994
3777  13.08672025227
4113  12.238554836182
4441  11.444453278616
4849  10.698306949028
5305  10.00064592651
5785  9.3459952395695
6281  8.732425555066
6777  8.1590285104523
7337  7.6217725708825
7913  7.1187545527549
8689  6.6505817768167
9457  6.2126857729424
10321  5.8015846532708
11177  5.4176764552273
12081  5.0594062729815
13017  4.7237689776308
14033  4.4099153032677
15113  4.1175386887155
16225  3.8439234385421
17465  3.5882958532657
18769  3.3495898063367
20137  3.1266066606865
21513  2.9180038713227
23017  2.7238837068707
24497  2.5420265860948
26169  2.3727891910973
27873  2.2143277580706
29665  2.0666922112388
31625  1.9288336613037
33649  1.800101288277
35761  1.6799513685846
38073  1.5678988950816
40441  1.4630507778555
43001  1.3653431914321
